Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antonín Barák,MF,cz Czechia,29,1994,3,1,41,0.5,0,0,0,0,0,0,2,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
Bradley Barcola,"FW,MF",fr France,21,2002,3,1,103,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.7,9,7,20,0,0,0,0,0,0.14,0.56,0.7,0.14,0.7,Matches
Abdülkerim Bardakcı,DF,tr Türkiye,29,1994,4,4,360,4,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.5,6,13,1,0,0,0,0,0,0.06,0.07,0.14,0.06,0.14,Matches
Nicolò Barella,MF,it Italy,26,1997,4,4,332,3.7,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.4,8,21,7,0.27,0,0.27,0.27,0.27,0.02,0.08,0.1,0.02,0.1,Matches
Alessandro Bastoni,DF,it Italy,24,1999,4,4,360,4,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,5,21,6,0.25,0,0.25,0.25,0.25,0.13,0,0.13,0.13,0.13,Matches
Martin Baturina,FW,hr Croatia,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0,0,0,0,0.95,0,0.95,0.95,0.95,Matches
Christoph Baumgartner,"MF,FW",at Austria,24,1999,4,3,289,3.2,1,1,2,1,0,0,1,0,1.8,1.8,0.6,2.4,17,9,17,0.31,0.31,0.62,0.31,0.62,0.56,0.18,0.74,0.56,0.74,Matches
Altay Bayındır,GK,tr Türkiye,25,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jan Bednarek,DF,pl Poland,27,1996,3,3,270,3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,2,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Maximilian Beier,FW,de Germany,21,2002,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
